TmdbId,Title,Tagline,Overview,ReleaseDate,Runtime,Budget,Revenue,Language,Genres,Keywords,Rating,Votes
254,King Kong,The eighth wonder of the world.,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",12/14/2005,187,207000000,550000000,en,Adventure;Drama;Action,film business;screenplay;show business;film making;film producer;exotic island;monster;indigenous;ship;dinosaur,6.6,2337
597,Titanic,Nothing on Earth could come between them.,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",11/18/1997,194,200000000,1845034188,en,Drama;Romance;Thriller,shipwreck;iceberg;ship;panic;titanic;ocean liner;epic;rich woman - poor man;love;disaster;tragic love;class differences;imax;star crossed lovers;steerage;salvage;rich snob;3d;1910s,7.5,7562
271110,Captain America: Civil War,Divided We Fall,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",4/27/2016,147,250000000,1153304495,en,Adventure;Action;Science Fiction,civil war;war;marvel comic;sequel;superhero;based on comic book;imax;aftercreditsstinger;duringcreditsstinger;marvel cinematic universe;3d,7.1,7241
44833,Battleship,The Battle for Earth Begins at Sea,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",4/11/2012,131,209000000,303025485,en,Thriller;Action;Adventure;Science Fiction,fight;u.s. navy;mind reading;hong kong;soccer;scientist;fictional war;naval;armada;battleship;naval combat;jds myoko;lost communication;taser;buoy;communications expert;joint chiefs of staff;crash landing;jet fighter pilot;navy lieutenant;permission to marry;uss john paul jones;based on board game;aftercreditsstinger;mighty mo;uss missouri,5.5,2114
135397,Jurassic World,The park is open.,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",6/9/2015,124,150000000,1513528810,en,Action;Adventure;Science Fiction;Thriller,monster;dna;tyrannosaurus rex;velociraptor;island;sequel;suspense;disaster;escape;dinosaur;amusement park;animal attack;theme park;jurassic park;3d;animal horror,6.5,8662
37724,Skyfall,Think on your sins.,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",10/25/2012,143,200000000,1108561013,en,Action;Adventure;Thriller,spy;secret agent;sociopath;killer;art gallery;british secret service;istanbul turkey;imax;uzi;booby trap;impersonating a police officer;macao,6.9,7604
558,Spider-Man 2,There's a hero in all of us.,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",6/25/2004,127,200000000,783766341,en,Action;Adventure;Fantasy,dual identity;love of one's life;pizza boy;marvel comic;sequel;superhero;doctor;scientist;tentacle;death;super villain,6.7,4321
68721,Iron Man 3,Unleash the power behind the armor.,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",4/18/2013,130,200000000,1215439994,en,Action;Adventure;Science Fiction,terrorist;war on terror;tennessee;malibu;marvel comic;superhero;based on comic book;tony stark;iron man;aftercreditsstinger;marvel cinematic universe;mandarin;3d;war machine;iron patriot;extremis,6.8,8806
12155,Alice in Wonderland,You're invited to a very important date.,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",3/3/2010,108,200000000,1025491110,en,Family;Fantasy;Adventure,based on novel;fictional place;queen;fantasy;alice in wonderland;fantasy world;3d,6.4,4645
36668,X-Men: The Last Stand,Take a Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",5/24/2006,104,210000000,459359555,en,Adventure;Action;Science Fiction;Thriller,mutant;marvel comic;based on comic book;superhuman;beast;cyclops;aftercreditsstinger,6.3,3525
62211,Monsters University,School never looked this scary.,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,6/20/2013,104,200000000,743559607,en,Animation;Family,monster;dormitory;games;animation;best friend;university;scary;aftercreditsstinger,7.0,3528
8373,Transformers: Revenge of the Fallen,Revenge is coming.,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",6/19/2009,150,150000000,836297228,en,Science Fiction;Action;Adventure,egypt;sun;chaos;symbol;artifact;transformers;tank;robot;imax;duringcreditsstinger,6.0,3138
91314,Transformers: Age of Extinction,This is not war. It's extinction.,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",6/25/2014,165,210000000,1091405097,en,Science Fiction;Action;Adventure,sequel;alien;transformers;giant robot;robot;imax;transforming robot,5.8,3095
68728,Oz: The Great and Powerful,"In Oz, nothing is what it seems","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",3/7/2013,130,200000000,491868548,en,Fantasy;Adventure;Family,circus;witch;magic;hope;illusion;lost;magic trick;wizard;3d,5.7,3530
102382,The Amazing Spider-Man 2,No more secrets.,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",4/16/2014,142,200000000,705717432,en,Action;Adventure;Fantasy,obsession;marvel comic;sequel;based on comic book;electrocution;medical experiment;electricity;super powers,6.5,4179
20526,TRON: Legacy,The Game Has Changed.,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",12/10/2010,125,170000000,400062763,en,Adventure;Action;Science Fiction,artificial intelligence;secret identity;computer program;dystopia;computer;deception;duel;motorcycle;neon light;autocracy,6.3,2841
49013,Cars 2,Ka-ciao!,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,6/11/2011,106,200000000,559852396,en,Animation;Family;Adventure;Comedy,car race;sequel;comedy;anthropomorphism;best friend;duringcreditsstinger,5.8,2033
44912,Green Lantern,"In our darkest hour, there will be light.","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",6/16/2011,114,200000000,219851172,en,Adventure;Action;Thriller;Science Fiction,dc comics;transformation;superhero;alien;alien infection;magical object;protector;super powers;origin;3d,5.1,2487
10193,Toy Story 3,No toy gets left behind.,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",6/16/2010,103,200000000,1066969703,en,Animation;Family;Comedy,hostage;college;toy;barbie;animation;escape;day care;teddy bear;duringcreditsstinger;toy comes to life;personification;inanimate objects coming to life;toy story,7.6,4597
534,Terminator Salvation,The End Begins.,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",5/20/2009,115,200000000,371353001,en,Action;Science Fiction;Thriller,saving the world;artificial intelligence;prophecy;san francisco;cyborg;killer robot;gas station;post-apocalyptic;dystopia;army;firearm;wartime;los angeles,5.9,2463
168259,Furious 7,Vengeance Hits Home,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,4/1/2015,137,190000000,1506249360,en,Action,car race;speed;revenge;suspense;car;race;muscle car,7.3,4176
72190,World War Z,Remember Philly!,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",6/20/2013,116,200000000,531865000,en,Action;Drama;Horror;Science Fiction;Thriller,dystopia;apocalypse;zombie;nuclear weapons;multiple perspectives;zombie apocalypse,6.7,5560
127585,X-Men: Days of Future Past,"To save the future, they must alter the past",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,5/15/2014,131,250000000,747862775,en,Action;Adventure;Fantasy;Science Fiction,1970s;mutant;time travel;marvel comic;based on comic book;superhuman;storm;beast;aftercreditsstinger;changing the past or future,7.5,6032
54138,Star Trek Into Darkness,Earth Will Fall,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",5/5/2013,132,190000000,467365246,en,Action;Adventure;Science Fiction,spacecraft;friendship;sequel;futuristic;space;alien;imax;space opera;terrorist bombing;3d,7.4,4418
81005,Jack the Giant Slayer,Prepare for a giant adventure,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",2/27/2013,114,195000000,197687603,en,Action;Family;Fantasy,based on fairy tale;giant,5.5,2598
64682,The Great Gatsby,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",5/10/2013,143,105000000,351040419,en,Drama;Romance,based on novel;infidelity;obsession;hope;3d,7.3,3769
9543,Prince of Persia: The Sands of Time,Defy the Future,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",5/19/2010,116,150000000,335154643,en,Adventure;Fantasy;Action;Romance,persia;sandstorm;brother against brother;armageddon;regent;based on video game,6.2,2317
68726,Pacific Rim,"To Fight Monsters, We Created Monsters","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",7/11/2013,131,180000000,407602906,en,Action;Science Fiction;Adventure,dystopia;giant robot;giant monster;apocalypse;imax;duringcreditsstinger;3d,6.7,4794
38356,Transformers: Dark of the Moon,The invasion we always feared. An enemy we never expected.,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",6/28/2011,154,195000000,1123746996,en,Action;Science Fiction;Adventure,moon;spacecraft;traitor;bodyguard;alien planet;based on cartoon;transformers;giant robot;sabotage;word domination;commando;duringcreditsstinger,6.1,3299
217,Indiana Jones and the Kingdom of the Crystal Skull,The adventure continues . . .,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",5/21/2008,122,185000000,786636033,en,Adventure;Action,saving the world;riddle;whip;treasure;mexico city;leather jacket;machinegun;alien phenomenons;maya civilization;peru;treasure hunt;nuclear explosion;refrigerator;archaeologist;indiana jones;archeology ,5.7,2495
105864,The Good Dinosaur,Little Arms With Big Attitude,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,11/14/2015,93,175000000,331926147,en,Adventure;Animation;Family,tyrannosaurus rex;friends;alternate history;dinosaur;fear;storm;nature;human;journey,6.6,1736
62177,Brave,Change your fate.,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",6/21/2012,93,185000000,538983207,en,Animation;Adventure;Comedy;Family;Action;Fantasy,scotland;rebel;bravery;kingdom;archer;wish;bear;scot;rebellious daughter;turns into animal;archery;ruins;aftercreditsstinger;peace offering;woman director;courage;3d,6.7,4641
188927,Star Trek Beyond,,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",7/7/2016,122,185000000,343471816,en,Action;Adventure;Science Fiction,sequel;stranded;hatred;space opera,6.6,2568
10681,WALL·E,An adventure beyond the ordinar-E.,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",6/22/2008,98,180000000,521311860,en,Animation;Family,romantic comedy,7.8,6296
